date,year,month,metric,region,value,unit,source,source_type
2021-01-01,2021,January,tea_production,all,48896126.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2021-01-01,2021,January,tea_production,east_of_rift,17399681.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2021-01-01,2021,January,tea_production,west_of_rift,31496445.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2021-02-01,2021,February,tea_production,all,54411935.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2021-02-01,2021,February,tea_production,east_of_rift,20529278.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2021-02-01,2021,February,tea_production,west_of_rift,33882657.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2021-03-01,2021,March,tea_production,all,48692709.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2021-03-01,2021,March,tea_production,east_of_rift,3088403.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2021-03-01,2021,March,tea_production,west_of_rift,30606156.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2021-04-01,2021,April,tea_production,all,44299460.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2021-04-01,2021,April,tea_production,east_of_rift,18548754.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2021-04-01,2021,April,tea_production,west_of_rift,25750706.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2021-05-01,2021,May,tea_production,all,43460000.0,kg,,hand_labeled
2021-06-01,2021,June,tea_production,all,43468948.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2021-06-01,2021,June,tea_production,east_of_rift,11890491.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2021-06-01,2021,June,tea_production,west_of_rift,31578457.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2021-07-01,2021,July,tea_production,all,19728108.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2021-07-01,2021,July,tea_production,east_of_rift,831404.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2021-07-01,2021,July,tea_production,west_of_rift,18896704.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2021-08-01,2021,August,tea_production,all,33630000.0,kg,,hand_labeled
2021-09-01,2021,September,tea_production,all,43180000.0,kg,,hand_labeled
2021-10-01,2021,October,tea_production,all,25876032.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2021-10-01,2021,October,tea_production,east_of_rift,15298673.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2021-10-01,2021,October,tea_production,west_of_rift,10577359.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2021-11-01,2021,November,tea_production,all,50719163.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2021-11-01,2021,November,tea_production,east_of_rift,17287954.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2021-11-01,2021,November,tea_production,west_of_rift,33431209.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2021-12-01,2021,December,tea_production,all,52520000.0,kg,,hand_labeled
2022-01-01,2022,January,tea_production,all,48683030.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2022-01-01,2022,January,tea_production,east_of_rift,19025357.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2022-01-01,2022,January,tea_production,west_of_rift,29657674.0,kg,kenya-tea-industry-performance-highlights-2022-January.pdf,extracted
2022-02-01,2022,February,tea_production,all,52526356.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2022-02-01,2022,February,tea_production,east_of_rift,19531443.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2022-02-01,2022,February,tea_production,west_of_rift,32994913.0,kg,kenya-tea-industry-performance-highlights-2022-February.pdf,extracted
2022-03-01,2022,March,tea_production,all,46321066.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2022-03-01,2022,March,tea_production,east_of_rift,14998150.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2022-03-01,2022,March,tea_production,west_of_rift,31322916.0,kg,kenya-tea-industry-performance-highlights-2022-March.pdf,extracted
2022-04-01,2022,April,tea_production,all,41171296.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2022-04-01,2022,April,tea_production,east_of_rift,14488921.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2022-04-01,2022,April,tea_production,west_of_rift,26682375.0,kg,kenya-tea-industry-performance-highlights-2022-April.pdf,extracted
2022-05-01,2022,May,tea_production,all,50250000.0,kg,,hand_labeled
2022-06-01,2022,June,tea_production,all,43268314.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2022-06-01,2022,June,tea_production,east_of_rift,11394331.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2022-06-01,2022,June,tea_production,west_of_rift,31873983.0,kg,kenya-tea-industry-performance-highlights-2022-June.pdf,extracted
2022-07-01,2022,July,tea_production,all,21130826.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2022-07-01,2022,July,tea_production,east_of_rift,720558.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2022-07-01,2022,July,tea_production,west_of_rift,20410268.0,kg,kenya-tea-industry-performance-highlights-2022-July.pdf,extracted
2022-08-01,2022,August,tea_production,all,36060000.0,kg,,hand_labeled
2022-09-01,2022,September,tea_production,all,38336360.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2022-09-01,2022,September,tea_production,east_of_rift,12311308.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2022-09-01,2022,September,tea_production,west_of_rift,26025052.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2022-10-01,2022,October,tea_production,all,26170783.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2022-10-01,2022,October,tea_production,east_of_rift,16262490.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2022-10-01,2022,October,tea_production,west_of_rift,9908293.0,kg,kenya-tea-industry-performance-highlights-2022-October.pdf,extracted
2022-11-01,2022,November,tea_production,all,49220258.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2022-11-01,2022,November,tea_production,east_of_rift,13585141.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2022-11-01,2022,November,tea_production,west_of_rift,35635117.0,kg,kenya-tea-industry-performance-highlights-2022-November.pdf,extracted
2022-12-01,2022,December,tea_production,all,55322615.0,kg,kenya-tea-industry-performance-highlights-2022-December.pdf,hand_labeled
2023-01-01,2023,January,tea_production,all,54919185.0,kg,kenya-tea-industry-performance-highlights-2023-January.pdf,extracted
2023-01-01,2023,January,tea_production,east_of_rift,18199350.0,kg,kenya-tea-industry-performance-highlights-2023-January.pdf,extracted
2023-01-01,2023,January,tea_production,west_of_rift,36719835.0,kg,kenya-tea-industry-performance-highlights-2023-January.pdf,extracted
2023-02-01,2023,February,tea_production,all,32730272.0,kg,kenya-tea-industry-performance-highlights-2023-February.pdf,extracted
2023-02-01,2023,February,tea_production,east_of_rift,11640248.0,kg,kenya-tea-industry-performance-highlights-2023-February.pdf,extracted
2023-02-01,2023,February,tea_production,west_of_rift,21090024.0,kg,kenya-tea-industry-performance-highlights-2023-February.pdf,extracted
2023-03-01,2023,March,tea_production,all,30480000.0,kg,,hand_labeled
2023-04-01,2023,April,tea_production,all,49491391.0,kg,kenya-tea-industry-performance-highlights-2023-April.pdf,extracted
2023-04-01,2023,April,tea_production,east_of_rift,16741215.0,kg,kenya-tea-industry-performance-highlights-2023-April.pdf,extracted
2023-04-01,2023,April,tea_production,west_of_rift,32750176.0,kg,kenya-tea-industry-performance-highlights-2023-April.pdf,extracted
2023-05-01,2023,May,tea_production,all,57885909.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2023-05-01,2023,May,tea_production,east_of_rift,19853008.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2023-05-01,2023,May,tea_production,west_of_rift,38032901.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2023-06-01,2023,June,tea_production,all,48127888.0,kg,kenya-tea-industry-performance-highlights-2023-June.pdf,extracted
2023-06-01,2023,June,tea_production,east_of_rift,13996531.0,kg,kenya-tea-industry-performance-highlights-2023-June.pdf,extracted
2023-06-01,2023,June,tea_production,west_of_rift,34131357.0,kg,kenya-tea-industry-performance-highlights-2023-June.pdf,extracted
2023-07-01,2023,July,tea_production,all,44696615.0,kg,kenya-tea-industry-performance-highlights-2023-July.pdf,extracted
2023-07-01,2023,July,tea_production,east_of_rift,9559668.0,kg,kenya-tea-industry-performance-highlights-2023-July.pdf,extracted
2023-07-01,2023,July,tea_production,west_of_rift,35136947.0,kg,kenya-tea-industry-performance-highlights-2023-July.pdf,extracted
2023-08-01,2023,August,tea_production,all,45577653.0,kg,kenya-tea-industry-performance-highlights-2023-August.pdf,hand_labeled
2023-09-01,2023,September,tea_production,all,48308315.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2023-09-01,2023,September,tea_production,east_of_rift,17193982.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2023-09-01,2023,September,tea_production,west_of_rift,31114333.0,kg,kenya-tea-industry-performance-highlights-2023-September.pdf,extracted
2023-10-01,2023,October,tea_production,all,52792669.0,kg,kenya-tea-industry-performance-highlights-2023-October.pdf,extracted
2023-10-01,2023,October,tea_production,east_of_rift,16753145.0,kg,kenya-tea-industry-performance-highlights-2023-October.pdf,extracted
2023-10-01,2023,October,tea_production,west_of_rift,36039524.0,kg,kenya-tea-industry-performance-highlights-2023-October.pdf,extracted
2023-11-01,2023,November,tea_production,all,50905523.0,kg,kenya-tea-industry-performance-highlights-2023-November.pdf,extracted
2023-11-01,2023,November,tea_production,east_of_rift,16541964.0,kg,kenya-tea-industry-performance-highlights-2023-November.pdf,extracted
2023-11-01,2023,November,tea_production,west_of_rift,34363559.0,kg,kenya-tea-industry-performance-highlights-2023-November.pdf,extracted
2023-12-01,2023,December,tea_production,all,53000000.0,kg,,hand_labeled
2024-01-01,2024,January,tea_production,all,58966889.0,kg,kenya-tea-industry-performance-highlights-2024-January.pdf,extracted
2024-01-01,2024,January,tea_production,east_of_rift,20385428.0,kg,kenya-tea-industry-performance-highlights-2024-January.pdf,extracted
2024-01-01,2024,January,tea_production,west_of_rift,38581461.0,kg,kenya-tea-industry-performance-highlights-2024-January.pdf,extracted
2024-02-01,2024,February,tea_production,all,55447323.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2024-02-01,2024,February,tea_production,east_of_rift,19570806.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2024-02-01,2024,February,tea_production,west_of_rift,35876518.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2024-03-01,2024,March,tea_production,all,54850000.0,kg,,hand_labeled
2024-04-01,2024,April,tea_production,all,53852778.0,kg,kenya-tea-industry-performance-highlights-2024-April.pdf,extracted
2024-04-01,2024,April,tea_production,east_of_rift,18493353.0,kg,kenya-tea-industry-performance-highlights-2024-April.pdf,extracted
2024-04-01,2024,April,tea_production,west_of_rift,35359425.0,kg,kenya-tea-industry-performance-highlights-2024-April.pdf,extracted
2024-05-01,2024,May,tea_production,all,54529182.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2024-05-01,2024,May,tea_production,east_of_rift,18051225.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2024-05-01,2024,May,tea_production,west_of_rift,35877958.0,kg,kenya-tea-industry-performance-highlights-2024-May.pdf,extracted
2024-06-01,2024,June,tea_production,all,46160633.0,kg,kenya-tea-industry-performance-highlights-2025-June.pdf,extracted
2024-06-01,2024,June,tea_production,east_of_rift,13266618.0,kg,kenya-tea-industry-performance-highlights-2025-June.pdf,extracted
2024-06-01,2024,June,tea_production,west_of_rift,32894016.0,kg,kenya-tea-industry-performance-highlights-2025-June.pdf,extracted
2024-07-01,2024,July,tea_production,all,40820000.0,kg,,hand_labeled
2024-08-01,2024,August,tea_production,all,38620000.0,kg,,hand_labeled
2024-09-01,2024,September,tea_production,all,42413379.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2024-09-01,2024,September,tea_production,east_of_rift,12972691.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2024-09-01,2024,September,tea_production,west_of_rift,29440688.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2024-10-01,2024,October,tea_production,all,50060000.0,kg,,hand_labeled
2024-11-01,2024,November,tea_production,all,47410000.0,kg,,hand_labeled
2024-12-01,2024,December,tea_production,all,55830000.0,kg,,hand_labeled
2025-01-01,2025,January,tea_production,all,54365267.0,kg,kenya-tea-industry-performance-highlights-2025-January.pdf,extracted
2025-01-01,2025,January,tea_production,east_of_rift,18114144.0,kg,kenya-tea-industry-performance-highlights-2025-January.pdf,extracted
2025-01-01,2025,January,tea_production,west_of_rift,36951123.0,kg,kenya-tea-industry-performance-highlights-2025-January.pdf,extracted
2025-02-01,2025,February,tea_production,all,44617082.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2025-02-01,2025,February,tea_production,east_of_rift,15414972.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2025-02-01,2025,February,tea_production,west_of_rift,29202110.0,kg,kenya-tea-industry-performance-highlights-2025-February.pdf,extracted
2025-03-01,2025,March,tea_production,all,37932583.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
2025-03-01,2025,March,tea_production,east_of_rift,13925429.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
2025-03-01,2025,March,tea_production,west_of_rift,24007155.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
2025-04-01,2025,April,tea_production,all,51780000.0,kg,kenya-tea-industry-performance-highlights-2025-April.pdf,hand_labeled
2025-05-01,2025,May,tea_production,all,52139344.0,kg,kenya-tea-industry-performance-highlights-2025-May.pdf,extracted
2025-05-01,2025,May,tea_production,east_of_rift,17990170.0,kg,kenya-tea-industry-performance-highlights-2025-May.pdf,extracted
2025-05-01,2025,May,tea_production,west_of_rift,34149174.0,kg,kenya-tea-industry-performance-highlights-2025-May.pdf,extracted
2025-06-01,2025,June,tea_production,all,42416013.0,kg,kenya-tea-industry-performance-highlights-2025-June.pdf,hand_labeled
2025-07-01,2025,July,tea_production,all,39040000.0,kg,,hand_labeled
2025-08-01,2025,August,tea_production,all,36870000.0,kg,,hand_labeled
2025-09-01,2025,September,tea_production,all,42519109.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2025-09-01,2025,September,tea_production,east_of_rift,12612320.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2025-09-01,2025,September,tea_production,west_of_rift,29906790.0,kg,kenya-tea-industry-performance-highlights-2025-September.pdf,extracted
2025-10-01,2025,October,tea_production,all,49700000.0,kg,,hand_labeled
2025-11-01,2025,November,tea_production,all,48270000.0,kg,,hand_labeled
2025-12-01,2025,December,tea_production,all,49700000.0,kg,,hand_labeled
2026-01-01,2026,January,tea_production,all,51231900.0,kg,kenya-tea-industry-performance-highlights-2026-January.pdf,hand_labeled
2026-02-01,2026,February,tea_production,all,37359195.0,kg,kenya-tea-industry-performance-highlights-2026-February.pdf,hand_labeled
2026-03-01,2026,March,tea_production,all,52533093.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
2026-03-01,2026,March,tea_production,east_of_rift,18608597.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
2026-03-01,2026,March,tea_production,west_of_rift,33925296.0,kg,kenya-tea-industry-performance-highlights-2026-March.pdf,extracted
